card,version,status,note
ロウ,v228,ruling_updated,テンション3：山札ではなく全カードのコスト3ユニットからランダムに1体を場に出す。召喚時は発動しない。
バードファイター,v228,no_effect_confirmed,カードテキスト空欄。追加処理なし。
アビスソルジャー,v228,no_effect_confirmed,カードテキスト空欄。追加処理なし。
タップペンギー,v228,no_effect_confirmed,カードテキスト空欄。追加処理なし。
ミイラおとこ,v228,no_effect_confirmed,カードテキスト空欄。追加処理なし。
いばらドラゴン,v228,no_effect_confirmed,効果なし。
デザートランナー,v228,implemented_or_reinforced,地形マスに召喚された場合のみ速攻を得る。場に出すでは召喚時扱いにしない。
テールイーター,v228,implemented_or_reinforced,召喚時：このユニットにさくせんを出す。
ミニデーモン,v228,implemented_or_reinforced,味方ヒーローがいる場合、山札/カードプールからコスト2特技を手札へ。
グリムン,v228,implemented_or_reinforced,このターン中、次に使う建物カードのコスト-2。
ザバン,v228,implemented_or_reinforced,道具カードを1枚手札に加える。
スーパーテンツク,v228,implemented_or_reinforced,味方ヒーローがいる場合、武器または必殺技カードを手札に加える。
いどまじん,v228,implemented_or_reinforced,対戦中に味方建物が3つ以上出ていたら+2/+2。
ベンガルクーン,v228,implemented_or_reinforced,宝箱マス召喚時、4/4ミミック処理を補強。
ネネ,v228,implemented_or_reinforced,お宝発見の道具カード数+2のフラグを追加。
群れなすよるのていおう,v228,implemented_or_reinforced,召喚時：群れなるよるのていおう系ユニットを1体場に出す。
ドラムゴート,v228,implemented_or_reinforced,テンションカード2回使用オーラのフラグを維持。UI/使用回数側は既存制御に依存。
トドマン,v228,implemented_or_reinforced,自分の特技をこのユニットに使った時、攻撃力+1。対象モーダル経由を拾う前提。
シーメーダ,v228,implemented_or_reinforced,自分の特技をこのユニットに使った時、味方リーダーHP1回復。
ポムポムボム,v228,implemented_or_reinforced,占いカード使用時、速攻1/1バブリンを場に出す。
のろいのランプ,v228,implemented_or_reinforced,絶好調中に占い特技を使った後、同じカードを手札へ加え、絶好調解除。
うずしおキング,v228,implemented_or_reinforced,れんけい：山札上4枚かられんけいカードを選んで手札へ。
ブルホーク,v228,implemented_or_reinforced,占い：占いカードサーチ/テンション+2。
メルビン,v228,implemented_or_reinforced,死亡時：ホットストーンを山札上から3番目へ。
かいぞくウーパー,v228,implemented_or_reinforced,死亡時/手札破棄時の1ドローのうち、死亡時側を補強。破棄時は既存の破棄イベント連携が必要。
