version,cost,name,status
v224,3,いしにんぎょう,implemented_or_reinforced
v224,3,おおねずみ,implemented_or_reinforced
v224,3,おにこぞう,implemented_or_reinforced
v224,3,おばけねずみ,implemented_or_reinforced
v224,3,からくりだいみょう,implemented_or_reinforced
v224,3,くさった死体,implemented_or_reinforced
v224,3,げんじゅつし,implemented_or_reinforced
v224,3,しのどれい,implemented_or_reinforced
v224,3,じめじめバブル,implemented_or_reinforced
v224,3,たまねぎマン,implemented_or_reinforced
v224,3,だいおうイカ,implemented_or_reinforced
v224,3,だいおうキッズ,implemented_or_reinforced
v224,3,ちんもくのひつじ,implemented_or_reinforced
v224,3,つかいま,implemented_or_reinforced
v224,3,つららスライム,implemented_or_reinforced
v224,3,とうぞくこぞう,implemented_or_reinforced
v224,3,とげこんぼう,implemented_or_reinforced
v224,3,どくろ大臣,implemented_or_reinforced
v224,3,どろにんぎょう,implemented_or_reinforced
v224,3,はしりとかげ,implemented_or_reinforced
v224,3,ばくだん岩,implemented_or_reinforced
v224,3,ひぐらしそう,implemented_or_reinforced
v224,3,ふくぶくろ,implemented_or_reinforced
v224,3,ほねコウモリ,implemented_or_reinforced
v224,3,もりもりスライム,implemented_or_reinforced
v224,3,アイアンクック,implemented_or_reinforced
v224,3,イザヤール,implemented_or_reinforced
v224,3,エビルマスター,implemented_or_reinforced
v224,3,オーガソルジャー,implemented_or_reinforced
v224,3,キャタピラー,implemented_or_reinforced
v224,3,キャットバット,implemented_or_reinforced
v224,3,ケミカルゼリー,implemented_or_reinforced
v224,3,コサックシープ,implemented_or_reinforced
v224,3,ストロングアニマル,implemented_or_reinforced
v224,3,アカイライ,implemented_or_reinforced
v224,3,ぬすっとウサギ,implemented_or_reinforced
v224,3,ふくめんバニー,implemented_or_reinforced
v224,3,アローインプ,implemented_or_reinforced
v224,3,ウィッチネイル,implemented_or_reinforced
